timestamp,source,elbow_joint_pos,elbow_joint_vel,shoulder_lift_joint_pos,shoulder_lift_joint_vel,shoulder_pan_joint_pos,shoulder_pan_joint_vel,wrist_1_joint_pos,wrist_1_joint_vel,wrist_2_joint_pos,wrist_2_joint_vel,wrist_3_joint_pos,wrist_3_joint_vel
442.562865,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.125703,-0.234004
442.570669,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.123858,-0.227543
442.578934,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.122062,-0.221525
442.586762,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.120303,-0.218911
442.594960,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.118409,-0.237471
442.602793,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.116442,-0.244742
442.610841,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.114467,-0.244494
442.618792,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.112522,-0.240181
442.626859,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.110626,-0.233970
442.634835,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.110626,-0.233970
442.642855,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.108781,-0.227462
442.650942,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.106986,-0.221480
442.658863,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.105227,-0.218909
442.666714,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.103332,-0.237525
442.674818,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.101365,-0.244780
442.682872,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.099389,-0.244585
442.690926,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.097444,-0.240209
442.698772,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.097444,-0.240209
442.706822,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.095547,-0.234019
442.714942,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.093702,-0.227482
442.722725,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.091901,-0.223922
442.730654,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.089974,-0.241396
442.738578,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.087983,-0.247496
442.746594,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.085992,-0.246351
442.754534,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.084037,-0.241266
442.762588,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.082135,-0.234504
442.770556,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.080289,-0.227605
442.778617,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.080289,-0.227605
442.786619,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.078494,-0.221351
442.794514,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.076743,-0.216273
442.802464,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.075018,-0.214787
442.810433,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.073150,-0.234491
442.818428,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.071201,-0.242596
442.826427,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.069238,-0.243244
442.834313,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.067299,-0.239460
442.842342,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.065405,-0.233670
442.850344,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.063562,-0.227419
442.858398,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.061766,-0.221563
442.866312,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.060011,-0.216639
442.874303,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.058289,-0.212811
442.882323,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.056591,-0.210078
442.890387,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.054909,-0.208237
442.898344,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.053236,-0.207174
442.906270,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.051569,-0.206548
442.914393,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.049903,-0.206350
442.922414,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.048239,-0.206369
442.930526,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.048239,-0.206369
442.938591,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.046572,-0.206525
442.946643,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.044905,-0.206766
442.954945,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.043229,-0.209448
442.962831,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.041383,-0.232186
442.970938,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.039439,-0.242315
442.978800,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.037470,-0.244135
442.986676,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.035520,-0.241059
442.994874,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.033611,-0.235508
443.002396,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.031753,-0.229134
443.010425,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.029945,-0.223039
443.018626,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.028180,-0.217924
443.026468,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.028180,-0.217924
443.034429,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.026451,-0.213594
443.042483,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.024749,-0.210457
443.050662,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.023059,-0.210819
443.058455,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.021213,-0.231961
443.066477,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.019277,-0.241256
443.074507,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.017319,-0.242690
443.082607,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.015381,-0.239480
443.090655,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.013484,-0.234012
443.098865,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.011637,-0.227902
443.106706,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.009837,-0.222152
443.114712,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.008077,-0.217280
443.122807,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.006350,-0.213479
443.130902,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.004647,-0.210619
443.138910,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.004647,-0.210619
443.146776,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.002961,-0.208630
443.154766,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.001286,-0.207432
443.162840,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,2.999611,-0.209174
443.171006,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,2.997772,-0.231346
443.178818,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,2.995836,-0.241253
443.186874,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,2.993875,-0.243096
443.194761,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,2.991933,-0.240042
443.202823,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,2.991933,-0.240042
443.210726,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,2.990032,-0.234564
443.218797,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,2.988180,-0.228412
443.226725,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,2.986371,-0.225005
